TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-04-04,2025-04-04,FO,NSE,STF,57503,,PRESTIGE,,2025-05-29,2025-05-29,,,PRESTIGE25MAYFUT,1173.95,1175.3,1121.85,1133.25,1138.2,1201.2,1127.05,1133.25,18525,2275,38,14150922.5,38,F1,325,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57100,,PRESTIGE,,2025-06-26,2025-06-26,,,PRESTIGE25JUNFUT,1155.05,1155.05,1142.75,1142.75,1142.75,1154.95,1127.05,1142.75,1950,325,4,1497535.0,4,F1,325,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73535,,RBLBANK,,2025-04-24,2025-04-24,,,RBLBANK25APRFUT,176.01,179.28,171.32,176.42,177.28,175.8,175.65,176.42,59762500,3862500,9512,4174513200.0,6794,F1,2500,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57101,,RBLBANK,,2025-06-26,2025-06-26,,,RBLBANK25JUNFUT,177.29,180.65,175.1,178.15,178.3,177.75,175.65,178.15,167500,82500,64,28530950.0,52,F1,2500,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57505,,RBLBANK,,2025-05-29,2025-05-29,,,RBLBANK25MAYFUT,176.87,179.85,172.05,176.94,178.0,176.72,175.65,176.94,1250000,20000,521,229932475.0,487,F1,2500,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57114,,SHREECEM,,2025-06-26,2025-06-26,,,SHREECEM25JUNFUT,0.0,0.0,0.0,30596.0,30590.9,30596.0,30694.7,31151.75,200,0,0,0.0,0,F1,25,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57516,,SHREECEM,,2025-05-29,2025-05-29,,,SHREECEM25MAYFUT,30880.15,30956.7,30550.0,30680.45,30682.95,30871.75,30694.7,30680.45,3450,350,49,37650502.5,40,F1,25,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73565,,SHREECEM,,2025-04-24,2025-04-24,,,SHREECEM25APRFUT,30774.0,31127.45,30551.1,30695.3,30800.0,31008.15,30694.7,30695.3,234850,-375,1689,1299531583.75,1306,F1,25,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57225,,TATAELXSI,,2025-06-26,2025-06-26,,,TATAELXSI25JUNFUT,4968.0,4968.0,4820.0,4859.8,4853.0,5040.85,5056.8,4859.8,17600,4900,147,71691130.0,122,F1,100,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73580,,TATAELXSI,,2025-04-24,2025-04-24,,,TATAELXSI25APRFUT,5106.0,5154.0,4943.85,5000.0,5015.05,5169.15,5056.8,5000.0,2268700,121600,9177,4603413200.0,7046,F1,100,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57531,,TATAELXSI,,2025-05-29,2025-05-29,,,TATAELXSI25MAYFUT,5052.5,5082.0,4889.85,4937.15,4950.75,5091.05,5056.8,4937.15,231800,135200,2306,1140318705.0,1455,F1,100,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57248,,TATASTEEL,,2025-06-26,2025-06-26,,,TATASTEEL25JUNFUT,155.2,155.2,142.2,142.58,142.93,155.92,140.4,142.58,1210000,836000,410,329010055.0,389,F1,5500,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57534,,TATASTEEL,,2025-05-29,2025-05-29,,,TATASTEEL25MAYFUT,153.98,154.25,141.37,141.84,142.1,155.35,140.4,141.84,11132000,5780500,2347,1873215740.0,1833,F1,5500,,,,,
